"","AIDS.Report.Number","Aircraft.Damage","Primary.Flight.Type"
"578","19780330011549I","MINOR","PERSONAL"
"579","19780728036839I","MINOR","PERSONAL"
"580","19790211006729I","MINOR","PERSONAL"
"581","19791202048369I","MINOR","PERSONAL"
"582","19801017075089I","MINOR","PERSONAL"
"583","19810226013779I","MINOR","PERSONAL"
"584","19820304032289I","MINOR","PERSONAL"
"585","19820408014729I","MINOR","PERSONAL"
"586","19850608047429I","MINOR","PERSONAL"
"587","19780401007969I","MINOR","PERSONAL"
"588","19780428014539I","MINOR","PERSONAL"
"589","19780511033249I","MINOR","PERSONAL"
"590","19780601041329I","MINOR","PERSONAL"
"591","19781128024379I","MINOR","PERSONAL"
"592","19781202021689I","MINOR","PERSONAL"
"593","19790505025739I","MINOR","PERSONAL"
"594","19790724019649I","MINOR","PERSONAL"
"595","19790729022589I","MINOR","PERSONAL"
"596","19791025054439I","MINOR","PERSONAL"
"597","19791217046479I","MINOR","PERSONAL"
"598","19800225029649I","MINOR","PERSONAL"
"599","19800324033799I","MINOR","PERSONAL"
"600","19800504043609I","MINOR","PERSONAL"
"601","19800512055159I","MINOR","PERSONAL"
"602","19810319019929I","MINOR","PERSONAL"
"603","19810404023559I","MINOR","PERSONAL"
"604","19810502029659I","MINOR","PERSONAL"
"605","19820109002949I","MINOR","PERSONAL"
"606","19830501037999I","MINOR","PERSONAL"
"607","19830523029039I","MINOR","PERSONAL"
"608","19830614030239I","MINOR","PERSONAL"
"609","19830824062129I","MINOR","PERSONAL"
"610","19830924066989I","MINOR","PERSONAL"
"611","19831127073179I","MINOR","PERSONAL"
"612","19840720044979I","MINOR","PERSONAL"
"613","19840901056089I","MINOR","PERSONAL"
"614","19850429046559I","MINOR","PERSONAL"
"615","19860216009259I","MINOR","PERSONAL"
"616","19860322026379I","MINOR","PERSONAL"
"617","19860427030029I","MINOR","PERSONAL"
"618","19861018067789I","MINOR","PERSONAL"
"619","19861223080349I","MINOR","PERSONAL"
"620","19870509023659I","MINOR","PERSONAL"
"621","19870905064699I","MINOR","PERSONAL"
"622","19871007070549I","MINOR","PERSONAL"
"623","19880430029469I","MINOR","PERSONAL"
"624","19880604048039I","MINOR","PERSONAL"
"625","19780801047669I","MINOR","PERSONAL"
"626","19800912070419I","MINOR","PERSONAL"
"627","19820708037469I","MINOR","PERSONAL"
"628","19820728047809I","SUBSTANTIAL","PERSONAL"
"629","19830501032109I","MINOR","PERSONAL"
"630","19830627034149I","MINOR","PERSONAL"
"631","19850525053689I","MINOR","PERSONAL"
"632","19861025077509I","MINOR","PERSONAL"
"633","19870801053909I","MINOR","PERSONAL"
"634","19780211007039I","MINOR","PERSONAL"
"635","19790527028059I","MINOR","PERSONAL"
"636","19800219026849I","MINOR","PERSONAL"
"637","19810503034669I","MINOR","PERSONAL"
"638","19810919067149I","MINOR","PERSONAL"
"639","19821107065419I","MINOR","PERSONAL"
"640","19840601030239I","MINOR","PERSONAL"
"641","19850604027649I","MINOR","PERSONAL"
"642","19851116067289I","MINOR","PERSONAL"
"643","19860713041399I","MINOR","PERSONAL"
"644","19870529032819I","MINOR","PERSONAL"
"645","19780310014679I","MINOR","PERSONAL"
"646","19781204021969I","MINOR","PERSONAL"
"647","19781227020049I","MINOR","PERSONAL"
"648","19790303010719I","MINOR","PERSONAL"
"649","19790411010959I","MINOR","PERSONAL"
"650","19790704018429I","MINOR","PERSONAL"
"651","19790826032709I","MINOR","PERSONAL"
"652","19800703059479I","MINOR","PERSONAL"
"653","19810329012919I","MINOR","PERSONAL"
"654","19810818068429I","MINOR","PERSONAL"
"655","19820322009859I","MINOR","PERSONAL"
"656","19820326012429I","MINOR","PERSONAL"
"657","19820329012189I","MINOR","PERSONAL"
"658","19820502018959I","MINOR","PERSONAL"
"659","19821029063119I","MINOR","PERSONAL"
"660","19821217067019I","MINOR","PERSONAL"
"661","19830115004859I","MINOR","PERSONAL"
"662","19840402019599I","MINOR","PERSONAL"
"663","19850418020409I","MINOR","PERSONAL"
"664","19870417068259I","MINOR","PERSONAL"
"665","19790826032719I","MINOR","PERSONAL"
"666","19791209047509I","MINOR","PERSONAL"
"667","19800725062629I","MINOR","PERSONAL"
"668","19800908069799I","MINOR","PERSONAL"
"669","19830903063839I","MINOR","BUSINESS"
"670","19880430031669I","SUBSTANTIAL","PERSONAL"
"671","19780128003889I","MINOR","PERSONAL"
"672","19780311016369I","MINOR","PERSONAL"
"673","19780317013579I","MINOR","PERSONAL"
"674","19780415012579I","MINOR","PERSONAL"
"675","19780524039839I","MINOR","BUSINESS"
"676","19780907018519I","MINOR","PERSONAL"
"677","19781122025779I","MINOR","PERSONAL"
"678","19790422024569I","MINOR","PERSONAL"
"679","19790429100839I","MINOR","PERSONAL"
"680","19790624016329I","MINOR","PERSONAL"
"681","19790630018109I","MINOR","PERSONAL"
"682","19790713020659I","MINOR","PERSONAL"
"683","19790903034139I","MINOR","PERSONAL"
"684","19790920032549I","MINOR","PERSONAL"
"685","19791029053549I","MINOR","PERSONAL"
"686","19800224027209I","MINOR","PERSONAL"
"687","19800311045489I","MINOR","PERSONAL"
"688","19800412037989I","MINOR","PERSONAL"
"689","19800413049439I","MINOR","PERSONAL"
"690","19800703081829I","MINOR","PERSONAL"
"691","19800706059819I","MINOR","PERSONAL"
"692","19800903081369I","MINOR","PERSONAL"
"693","19801125080259I","MINOR","PERSONAL"
"694","19801201085729I","MINOR","PERSONAL"
"695","19810123011019I","SUBSTANTIAL","PERSONAL"
"696","19810418037379I","MINOR","PERSONAL"
"697","19810502060979I","MINOR","PERSONAL"
"698","19810525037199I","MINOR","PERSONAL"
"699","19810613055449I","MINOR","PERSONAL"
"700","19811005075189I","MINOR","PERSONAL"
"701","19811130086409I","MINOR","PERSONAL"
"702","19820213003179I","MINOR","PERSONAL"
"703","19820622031279I","MINOR","PERSONAL"
"704","19820717045839I","MINOR","PERSONAL"
"705","19821103064189I","SUBSTANTIAL","PERSONAL"
"706","19830801052199I","MINOR","PERSONAL"
"707","19830812051229I","MINOR","BUSINESS"
"708","19830925063239I","MINOR","BUSINESS"
"709","19831221072619I","MINOR","PERSONAL"
"710","19840101002639I","MINOR","PERSONAL"
"711","19840628045889I","MINOR","PERSONAL"
"712","19840814060159I","MINOR","PERSONAL"
"713","19840818046009I","MINOR","PERSONAL"
"714","19840908063789I","MINOR","PERSONAL"
"715","19850703065749I","MINOR","PERSONAL"
"716","19860801054929I","MINOR","PERSONAL"
"717","19861227080339I","MINOR","PERSONAL"
"718","19870510026029I","MINOR","PERSONAL"
"719","19870526036879I","MINOR","PERSONAL"
"720","19870611033239I","MINOR","PERSONAL"
"721","19870723045219I","MINOR","PERSONAL"
"722","19870726061259I","MINOR","PERSONAL"
"723","19881211054079I","MINOR","PERSONAL"
"724","19780205005979I","MINOR","PERSONAL"
"725","19780827039469I","MINOR","PERSONAL"
"726","19790117002239I","MINOR","BUSINESS"
"727","19790705018819I","MINOR","PERSONAL"
"728","19801211090169I","MINOR","PERSONAL"
"729","19810215026589I","MINOR","PERSONAL"
"730","19830827062649I","MINOR","PERSONAL"
"731","19830911062889I","MINOR","PERSONAL"
"732","19841122077069I","MINOR","PERSONAL"
"733","19850203024049I","MINOR","PERSONAL"
"734","19860223012209I","MINOR","PERSONAL"
"735","19860718039879I","MINOR","PERSONAL"
"736","19870927079679I","MINOR","PERSONAL"
"737","19871031071419I","MINOR","PERSONAL"
"738","19780226001959I","MINOR","PERSONAL"
"739","19780625035949I","SUBSTANTIAL","PERSONAL"
"740","19790324011129I","MINOR","PERSONAL"
"741","19800120016139I","MINOR","PERSONAL"
"742","19800216090599I","MINOR","PERSONAL"
"743","19800322045539I","MINOR","PERSONAL"
"744","19800831066079I","MINOR","PERSONAL"
"745","19810424026179I","MINOR","PERSONAL"
"746","19810825067709I","MINOR","PERSONAL"
"747","19820917054499I","MINOR","PERSONAL"
"748","19821121066439I","MINOR","PERSONAL"
"749","19830604036029I","MINOR","PERSONAL"
"750","19830708046229I","MINOR","PERSONAL"
"751","19840813050109I","MINOR","PERSONAL"
"752","19860202014999I","MINOR","PERSONAL"
"753","19860225012509I","MINOR","PERSONAL"
"754","19860414025509I","MINOR","PERSONAL"
"755","19860717063219I","MINOR","PERSONAL"
"756","19870420029819I","MINOR","PERSONAL"
"757","19880515028759I","MINOR","PERSONAL"
"758","19881123062669I","MINOR","PERSONAL"
"759","19780831038399I","MINOR","PERSONAL"
"760","19781211024749I","MINOR","PERSONAL"
"761","19781216025349I","MINOR","PERSONAL"
"762","19790413010239I","MINOR","PERSONAL"
"763","19790530028469I","MINOR","PERSONAL"
"764","19790814031199I","MINOR","PERSONAL"
"765","19790912035309I","MINOR","PERSONAL"
"766","19800610054489I","MINOR","PERSONAL"
"767","19800729062939I","MINOR","PERSONAL"
"768","19810328034539I","MINOR","PERSONAL"
"769","19810523053089I","MINOR","PERSONAL"
"770","19810819064419I","MINOR","PERSONAL"
"771","19811127088649I","MINOR","PERSONAL"
"772","19820223012279I","MINOR","PERSONAL"
"773","19820523033209I","MINOR","PERSONAL"
"774","19820717040779I","MINOR","PERSONAL"
"775","19821009063279I","MINOR","PERSONAL"
"776","19830723048289I","MINOR","PERSONAL"
"777","19840915056799I","MINOR","PERSONAL"
"778","19851004074109I","MINOR","PERSONAL"
"779","19860618055359I","MINOR","PERSONAL"
"780","19880925053479I","MINOR","PERSONAL"
"781","19780311016399I","MINOR","PERSONAL"
"782","19780602041499I","MINOR","PERSONAL"
"783","19780820049249I","MINOR","PERSONAL"
"784","19790508025899I","MINOR","PERSONAL"
"785","19800422050599I","MINOR","PERSONAL"
"786","19800705059699I","MINOR","PERSONAL"
"787","19800803068269I","SUBSTANTIAL","PERSONAL"
"788","19810412024359I","MINOR","PERSONAL"
"789","19810725071429I","MINOR","PERSONAL"
"790","19820328012839I","MINOR","PERSONAL"
"791","19820526037829I","MINOR","PERSONAL"
"792","19820613032499I","MINOR","PERSONAL"
"793","19820627046859I","MINOR","PERSONAL"
"794","19840304020609I","MINOR","PERSONAL"
"795","19841208074899I","MINOR","PERSONAL"
"796","19850217012939I","MINOR","PERSONAL"
"797","19850518033399I","MINOR","PERSONAL"
"798","19860323029169I","MINOR","PERSONAL"
"799","19880812044189I","MINOR","PERSONAL"
"800","19780223001579I","MINOR","PERSONAL"
"801","19780506032259I","MINOR","PERSONAL"
"802","19780523039689I","MINOR","PERSONAL"
"803","19780609045199I","SUBSTANTIAL","PERSONAL"
"804","19780617046319I","MINOR","PERSONAL"
"805","19780805050119I","MINOR","PERSONAL"
"806","19780826039179I","MINOR","PERSONAL"
"807","19780904017679I","MINOR","PERSONAL"
"808","19780908018369I","MINOR","PERSONAL"
"809","19781228020209I","MINOR","PERSONAL"
"810","19790123003339I","MINOR","PERSONAL"
"811","19790620016089I","MINOR","PERSONAL"
"812","19790716019199I","MINOR","PERSONAL"
"813","19790909034919I","MINOR","PERSONAL"
"814","19791004050729I","MINOR","PERSONAL"
"815","19800127018959I","MINOR","PERSONAL"
"816","19800220026789I","MINOR","PERSONAL"
"817","19800708060029I","MINOR","PERSONAL"
"818","19800711025199I","MINOR","PERSONAL"
"819","19800830080889I","MINOR","PERSONAL"
"820","19800902081629I","MINOR","PERSONAL"
"821","19810325017019I","MINOR","BUSINESS"
"822","19810601044689I","MINOR","AIR TAXI"
"823","19810704045349I","MINOR","PERSONAL"
"824","19810721060759I","MINOR","PERSONAL"
"825","19810808064459I","MINOR","PERSONAL"
"826","19811108089519I","MINOR","PERSONAL"
"827","19820725039449I","MINOR","PERSONAL"
"828","19830520029139I","MINOR","PERSONAL"
"829","19830816067149I","MINOR","PERSONAL"
"830","19840629069489I","MINOR","PERSONAL"
"831","19841230074309I","MINOR","PERSONAL"
"832","19850902053719I","MINOR","PERSONAL"
"833","19851029058619I","MINOR","PERSONAL"
"834","19851124068619I","MINOR","PERSONAL"
"835","19860418018369I","MINOR","PERSONAL"
"836","19860724058999I","MINOR","PERSONAL"
"837","19860831051659I","MINOR","PERSONAL"
"838","19860923049769I","MINOR","PERSONAL"
"839","19870715041669I","MINOR","PERSONAL"
"840","19880306013819I","MINOR","PERSONAL"
"841","19880619070449I","MINOR","PERSONAL"
"842","19880825060309I","MINOR","PERSONAL"
"843","19780122004129I","MINOR","PERSONAL"
"844","19790520026519I","MINOR","PERSONAL"
"845","19791015052579I","MINOR","PERSONAL"
"846","19791103056779I","MINOR","PERSONAL"
"847","19801104086519I","MINOR","PERSONAL"
"848","19810524037039I","MINOR","PERSONAL"
"849","19811216087989I","MINOR","PERSONAL"
"850","19811229090009I","MINOR","PERSONAL"
"851","19830305023159I","MINOR","PERSONAL"
"852","19841231074639I","MINOR","PERSONAL"
"853","19850323012769I","MINOR","PERSONAL"
"854","19850604041109I","MINOR","PERSONAL"
"855","19860706051269I","MINOR","PERSONAL"
"856","19881216065159I","MINOR","PERSONAL"
"857","19780227000259I","MINOR","PERSONAL"
"858","19790414012319I","MINOR","PERSONAL"
"859","19791018052939I","MINOR","PERSONAL"
"860","19800109014619I","MINOR","PERSONAL"
"861","19810707054179I","MINOR","PERSONAL"
"862","19811226084929I","MINOR","PERSONAL"
"863","19850207005399I","MINOR","BUSINESS"
"864","19850317013869I","MINOR","PERSONAL"
"865","19870308027839I","MINOR","PERSONAL"
"866","19881022059909I","MINOR","PERSONAL"
"867","19781216025359I","MINOR","PERSONAL"
"868","19790101000419I","MINOR","PERSONAL"
"869","19791022054729I","MINOR","PERSONAL"
"870","19791028053859I","MINOR","PERSONAL"
"871","19800510077449I","MINOR","PERSONAL"
"872","19800919069049I","SUBSTANTIAL","PERSONAL"
"873","19810417024199I","MINOR","PERSONAL"
"874","19820522036049I","MINOR","PERSONAL"
"875","19831011067519I","MINOR","PERSONAL"
"876","19860726059649I","MINOR","PERSONAL"
"877","19880103004059I","MINOR","PERSONAL"
"878","19790325011959I","MINOR","PERSONAL"
"879","19791117045429I","MINOR","PERSONAL"
"880","19800624056409I","MINOR","PERSONAL"
"881","19800626049129I","MINOR","PERSONAL"
"882","19810520033999I","MINOR","PERSONAL"
"883","19811101085949I","MINOR","PERSONAL"
"884","19840212010889I","MINOR","PERSONAL"
"885","19850808049849I","MINOR","PERSONAL"
"886","19870728049499I","MINOR","BUSINESS"
"887","19870804051369I","MINOR","PERSONAL"
"888","19881122063769I","MINOR","PERSONAL"
"889","19780125004959I","MINOR","PERSONAL"
"890","19780318008809I","MINOR","PERSONAL"
"891","19780319009159I","MINOR","PERSONAL"
"892","19780504031989I","MINOR","PERSONAL"
"893","19780703048119I","MINOR","PERSONAL"
"894","19780710043039I","MINOR","PERSONAL"
"895","19780812037799I","MINOR","PERSONAL"
"896","19780901016669I","MINOR","PERSONAL"
"897","19780904017729I","MINOR","PERSONAL"
"898","19780930018259I","MINOR","PERSONAL"
"899","19781116026639I","MINOR","PERSONAL"
"900","19781125024629I","MINOR","PERSONAL"
"901","19790218006649I","MINOR","PERSONAL"
"902","19790413010149I","MINOR","PERSONAL"
"903","19790417023159I","MINOR","PERSONAL"
"904","19790428025209I","MINOR","PERSONAL"
"905","19790605014349I","MINOR","PERSONAL"
"906","19790725021939I","MINOR","PERSONAL"
"907","19790809030309I","MINOR","BUSINESS"
"908","19790809030369I","MINOR","PERSONAL"
"909","19790909034949I","MINOR","PERSONAL"
"910","19791023054779I","MINOR","PERSONAL"
"911","19791122044399I","MINOR","PERSONAL"
"912","19800229029679I","MINOR","PERSONAL"
"913","19800513043409I","MINOR","PERSONAL"
"914","19800615052652I","MINOR","PERSONAL"
"915","19800704059529I","MINOR","PERSONAL"
"916","19800724068839I","MINOR","PERSONAL"
"917","19800823066209I","MINOR","PERSONAL"
"918","19801231086439I","MINOR","PERSONAL"
"919","19810207010859I","MINOR","PERSONAL"
"920","19810517035049I","MINOR","PERSONAL"
"921","19810613054959I","MINOR","PERSONAL"
"922","19810910066749I","MINOR","PERSONAL"
"923","19811102081799I","MINOR","PERSONAL"
"924","19811124086249I","MINOR","PERSONAL"
"925","19820113003329I","MINOR","PERSONAL"
"926","19820307034459I","MINOR","PERSONAL"
"927","19820728045539I","MINOR","PERSONAL"
"928","19821031065549I","SUBSTANTIAL","PERSONAL"
"929","19821031067419I","MINOR","PERSONAL"
"930","19830204007449I","MINOR","BUSINESS"
"931","19830320014779I","MINOR","PERSONAL"
"932","19830529035309I","MINOR","PERSONAL"
"933","19830925063939I","MINOR","PERSONAL"
"934","19840324015639I","MINOR","PERSONAL"
"935","19840413020619I","MINOR","PERSONAL"
"936","19840415020689I","MINOR","PERSONAL"
"937","19840510022489I","MINOR","PERSONAL"
"938","19840519028689I","MINOR","PERSONAL"
"939","19840524037069I","MINOR","PERSONAL"
"940","19840607037539I","MINOR","BUSINESS"
"941","19840805074019I","MINOR","PERSONAL"
"942","19841127069839I","MINOR","PERSONAL"
"943","19850119007869I","MINOR","PERSONAL"
"944","19850708041099I","MINOR","PERSONAL"
"945","19851013060319I","MINOR","PERSONAL"
"946","19860304011909I","MINOR","PERSONAL"
"947","19861101078919I","MINOR","PERSONAL"
"948","19870507012479I","MINOR","PERSONAL"
"949","19870708075809I","MINOR","PERSONAL"
"950","19870812080699I","MINOR","PERSONAL"
"951","19870927070469I","MINOR","PERSONAL"
"952","19871206079589I","MINOR","PERSONAL"
"953","19880117059269I","MINOR","PERSONAL"
"954","19880119005669I","MINOR","PERSONAL"
"955","19880529030399I","MINOR","PERSONAL"
"956","19880905050919I","MINOR","PERSONAL"
"957","19881015062509I","MINOR","PERSONAL"
"958","19881111063419I","MINOR","PERSONAL"
"959","19780331012089I","MINOR","PERSONAL"
"960","19780529040919I","MINOR","PERSONAL"
"961","19781223021099I","MINOR","PERSONAL"
"962","19800322033269I","MINOR","PERSONAL"
"963","19800403047479I","MINOR","PERSONAL"
"964","19810503030349I","MINOR","PERSONAL"
"965","19821126068289I","MINOR","PERSONAL"
"966","19821207068389I","MINOR","PERSONAL"
"967","19830119005559I","MINOR","PERSONAL"
"968","19840412022239I","MINOR","PERSONAL"
"969","19841123070879I","MINOR","PERSONAL"
"970","19871019074559I","MINOR","PERSONAL"
"971","19880508022939I","MINOR","PERSONAL"
"972","19780719043779I","MINOR","PERSONAL"
"973","19790204005249I","MINOR","PERSONAL"
"974","19790822032349I","MINOR","PERSONAL"
"975","19810418024309I","MINOR","PERSONAL"
"976","19811107088849I","MINOR","PERSONAL"
"977","19811221085099I","MINOR","PERSONAL"
"978","19820130004959I","MINOR","PERSONAL"
"979","19820806042079I","MINOR","PERSONAL"
"980","19830704061749I","MINOR","PERSONAL"
"981","19840201009939I","MINOR","BUSINESS"
"982","19841222072079I","MINOR","PERSONAL"
"983","19850310015509I","MINOR","PERSONAL"
"984","19850310022269I","MINOR","PERSONAL"
"985","19860128007269I","MINOR","PERSONAL"
"986","19880810046259I","MINOR","PERSONAL"
"987","19780620046889I","MINOR","PERSONAL"
"988","19780921019799I","MINOR","PERSONAL"
"989","19801108079229I","MINOR","PERSONAL"
"990","19820901051479I","MINOR","PERSONAL"
"991","19870223017319I","MINOR","PERSONAL"
"992","19870808051179I","MINOR","PERSONAL"
"993","19870829063859I","MINOR","PERSONAL"
"994","19880327015679I","MINOR","PERSONAL"
"995","19881204068929I","MINOR","PERSONAL"
"996","19780529040839I","MINOR","PERSONAL"
"997","19790304010109I","MINOR","PERSONAL"
"998","19790805029499I","MINOR","PERSONAL"
"999","19790819032079I","MINOR","PERSONAL"
"1000","19790916023309I","MINOR","PERSONAL"
"1001","19800921088759I","MINOR","PERSONAL"
"1002","19810814063099I","MINOR","PERSONAL"
"1003","19820722050619I","MINOR","PERSONAL"
"1004","19840425072489I","MINOR","PERSONAL"
"1005","19860222011859I","MINOR","PERSONAL"
"1006","19861031052669I","MINOR","PERSONAL"
"1007","19881112070199I","MINOR","PERSONAL"
"1008","19780415012619I","MINOR","PERSONAL"
"1009","19780621047029I","MINOR","PERSONAL"
"1010","19780716040269I","MINOR","PERSONAL"
"1011","19780802047869I","MINOR","PERSONAL"
"1012","19780831038459I","MINOR","PERSONAL"
"1013","19781028027639I","MINOR","PERSONAL"
"1014","19781114026859I","MINOR","PERSONAL"
"1015","19781204022089I","MINOR","PERSONAL"
"1016","19790127003829I","MINOR","PERSONAL"
"1017","19790217006339I","MINOR","PERSONAL"
"1018","19790218006669I","MINOR","PERSONAL"
"1019","19790524027549I","MINOR","PERSONAL"
"1020","19790720019379I","MINOR","PERSONAL"
"1021","19790804030939I","MINOR","PERSONAL"
"1022","19790804031049I","MINOR","PERSONAL"
"1023","19790831033769I","MINOR","PERSONAL"
"1024","19800419039699I","MINOR","PERSONAL"
"1025","19800503043759I","MINOR","PERSONAL"
"1026","19800720062089I","MINOR","PERSONAL"
